IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2021,true,Age Group,40-49  years,AGEGROUP_YEARS40-49,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,,,,,,,17.92,,,,,,17.9,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,EUR,Europe,Country,POL,Poland,Year,2021,true,Age Group,18-29 years,AGEGROUP_YEARS18-29,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,,,,,,,17.92,,,,,,17.9,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2021,true,Age Group,30-39  years,AGEGROUP_YEARS30-39,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,17.98,,,,,,18.0,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2021,true,Age Group,40-49  years,AGEGROUP_YEARS40-49,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,18.13,,,,,,18.1,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2021,true,Age Group,All age groups (total),AGEGROUP_YEARSALL,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,,,,,,,18.09,,,,,,18.1,,,EN,2022-06-16T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2021,true,Age Group,40-49  years,AGEGROUP_YEARS40-49,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,18.23,,,,,,18.2,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2021,true,Age Group,30-39  years,AGEGROUP_YEARS30-39,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,18.44,,,,,,18.4,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2021,true,Age Group,30-39  years,AGEGROUP_YEARS30-39,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,18.47,,,,,,18.5,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,Age Group,40-49  years,AGEGROUP_YEARS40-49,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,18.67,,,,,,18.7,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_TOTALNEED,Prevalence of need of assistive products (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Age Group,40-49  years,AGEGROUP_YEARS40-49,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,,,,,,,18.98,,,,,,19,,,EN,2022-05-10T04:00:00.000Z
