Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4461209,GHED_EXTCHE_SHA2011,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2011,,,,,,,,,32.96,32.95787422,,,,2025-12-05T13:23:08Z,2011,2011-01-01,2011-12-31
4462032,GHED_EXTCHE_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2010,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
4462381,GHED_EXTCHE_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2013,,,,,,,,,18.86,18.85810089,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
4463181,GHED_EXTCHE_SHA2011,COUNTRY,GHA,AFR,Africa,YEAR,2020,,,,,,,,,17.95,17.95466805,,,,2025-12-05T13:23:08Z,2020,2020-01-01,2020-12-31
4466154,GHED_EXTCHE_SHA2011,COUNTRY,NGA,AFR,Africa,YEAR,2013,,,,,,,,,12.44,12.44294357,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
4470203,GHED_EXTCHE_SHA2011,COUNTRY,BGR,EUR,Europe,YEAR,2015,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
4473631,GHED_EXTCHE_SHA2011,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,0.31,0.3136695,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
4481430,GHED_EXTCHE_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2023,,,,,,,,,5.03,5.02818251,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
4482923,GHED_EXTCHE_SHA2011,COUNTRY,UGA,AFR,Africa,YEAR,2008,,,,,,,,,28.46,28.4550724,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
4483724,GHED_EXTCHE_SHA2011,COUNTRY,GAB,AFR,Africa,YEAR,2022,,,,,,,,,3.62,3.6238274599999998,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
