IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,29.24,,,,,,29.2,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,30.57,,,,,,30.6,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,POL,Poland,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,30.87,,,,,,30.9,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,ITA,Italy,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,32.05,,,,,,32.1,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,33.33,,,,,,33.3,,"Survey conducted in Blantyre region. Survey conducted by Centre for Social Research, University of Malawi",EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,34.61,,,,,,34.6,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,36.01,,,,,,36.0,,"Survey conducted in the following regions: Anhui, Beijing, Fujian, Hubei, Sichuan, Shaanxi. Survey conducted by China Assistive Devices and Technology Center for Persons with Disabilities",EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,36.7,,,,,,36.7,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,36.93,,,,,,36.9,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,37.64,,,,,,37.6,,,EN,2022-04-29T04:00:00.000Z
