Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3531477,GHED_EXT_pc_US_SHA2011,COUNTRY,CAF,AFR,Africa,YEAR,2014,,,,,,,,,6.93,6.92928053,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
3533913,GHED_EXT_pc_US_SHA2011,COUNTRY,NER,AFR,Africa,YEAR,2023,,,,,,,,,3.79,3.79324988,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
3534302,GHED_EXT_pc_US_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,2.11,2.11086766,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
3537383,GHED_EXT_pc_US_SHA2011,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
3537673,GHED_EXT_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2009,,,,,,,,,9.42,9.41549153,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
3547316,GHED_EXT_pc_US_SHA2011,COUNTRY,SLV,AMR,Americas,YEAR,2000,,,,,,,,,1.60,1.60012991,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
3547590,GHED_EXT_pc_US_SHA2011,COUNTRY,MWI,AFR,Africa,YEAR,2013,,,,,,,,,26.99,26.98681158,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
3552314,GHED_EXT_pc_US_SHA2011,COUNTRY,PNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,8.20,8.20006027,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
3552344,GHED_EXT_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_LMI,,,YEAR,2009,,,,,,,,,16.60,16.59958091,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
3558002,GHED_EXT_pc_US_SHA2011,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,3.18,3.17665059,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
